accession,id,description,keyword,,,,
PF17304,DUF5353,Family of unknown function (DUF5353),membrane,,,,
PF17310,DUF5357,Family of unknown function (DUF5357),membrane,,,,
PF17332,DUF5592,Family of unknown function (DUF5592),membrane,,,,
PF17355,DUF5383,Family of unknown function (DUF5383),membrane,,,,
PF17368,YwcE,Spore morphogenesis and germination YwcE,membrane,,,,
PF17411,SmaI,Type II site-specific deoxyribonuclease ,membrane,,,,
PF17460,RP854,Uncharacterized protein RP854,membrane,,,,
PF17541,TssC,"Type VI secretion system, TssC, VipB",membrane,,,,
PF17642,TssD,Hemolysin coregulated protein Hcp (TssD),membrane,,,,
PF17643,TssR,"Type VI secretion system, TssR",membrane,,,,
PF17646,Zemlya,Closterovirus 1a polyprotein central region,membrane,,,,
PF17649,VPS38,Vacuolar protein sorting 38,membrane,,,,
PF17653,DUF5522,Family of unknown function (DUF5522),membrane,,,,
PF17671,DUF5531,Family of unknown function (DUF5531),membrane,,,,
PF17672,DUF5589,Family of unknown function (DUF5589),membrane,,,,
PF17685,DUF5533,Family of unknown function (DUF5533),membrane,,,,
PF17686,DUF5534,Family of unknown function (DUF5534),membrane,,,,
PF17717,DUF5562,Family of unknown function (DUF5562),membrane,,,,
PF17731,DUF5570,Family of unknown function (DUF5570),membrane,,,,
PF17734,Spt46,Spermatogenesis-associated protein 46,membrane,,,,
PF17737,Ig_C19orf38,Ig domain in C19orf38 (HIDE1),membrane,,,,
PF17742,DUF5579,Family of unknown function (DUF5579),membrane,,,,
PF17751,SKICH,SKICH domain,membrane,,,,
PF17840,Tugs,Tethering Ubl4a to BAGS domain,membrane,,,,
PF17845,FbpC_C_terminal,FbpC C-terminal regulatory nucleotide binding domain,membrane,,,,
PF17850,CysA_C_terminal,CysA C-terminal regulatory domain,membrane,,,,
PF17888,Carm_PH,Carmil pleckstrin homology domain,membrane,,,,
PF17918,TetR_C_15,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17920,TetR_C_16,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17922,TetR_C_17,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17923,TetR_C_18,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17924,TetR_C_19,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17925,TetR_C_20,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17926,TetR_C_21,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17928,TetR_C_22,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17929,TetR_C_34,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17933,TetR_C_25,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17937,TetR_C_28,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17939,TetR_C_30,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17971,LIFR_D2,Leukemia inhibitory factor receptor D2 domain,membrane,,,,
PF18010,HTH_49,Cry35Ab1 HTH C-terminal domain,membrane,,,,
PF18054,CEL_III_C,CEL-III C-terminal,membrane,,,,
PF18056,PBP3,Penicillin Binding Protein 3 Domain ,membrane,,,,
PF18083,PutA_N,Proline utilization A N-terminal domain,membrane,,,,
PF18142,SLATT_fungal,SMODS and SLOG-associating 2TM effector domain,membrane,,,,
PF18171,LSDAT_prok,"SLOG in TRPM, prokaryote",membrane,,,,
PF18218,Spa1_C,Lantibiotic immunity protein Spa1 C-terminal domain,membrane,,,,
PF18222,PilN_bio_d,PilN biogenesis protein dimerization domain,membrane,,,,
PF18240,PSII_Pbs31,Photosystem II Psb31 protein,membrane,,,,
PF18249,Ca_bind_SSO6904,Calcium binding protein SSO6904,membrane,,,,
PF18257,DsbG_N,Disulfide isomerase DsbG N-terminal,membrane,,,,
PF18269,T3SS_ATPase_C,T3SS EscN ATPase C-terminal domain,membrane,,,,
PF18270,Evf,Virulence factor Evf,membrane,,,,
PF18276,TcA_TcB_BD,Tc toxin complex TcA C-terminal TcB-binding domain,membrane,,,,
PF18327,PRODH,Proline utilization A proline dehydrogenase N-terminal domain ,membrane,,,,
PF18346,SH3_15,Mind bomb SH3 repeat domain,membrane,,,,
PF18405,Serine_protease,Gammaproteobacterial serine protease,membrane,,,,
PF18434,Kazal_3,Kazal-type serine protease inhibitor domain,membrane,,,,
PF18442,G2BR,E3 gp78 Ube2g2-binding region (G2BR),membrane,,,,
PF18465,Rieske_3,Rieske 3Fe-4S,membrane,,,,
PF18473,Urease_linker,Urease subunit beta-alpha linker domain,membrane,,,,
PF18500,CadC_C1,CadC C-terminal domain 1,membrane,,,,
PF18518,TcA_RBD,TcA receptor binding domain,membrane,,,,
PF18534,HBD,Helical bundle domain,membrane,,,,
PF18564,Glyco_hydro_5_C,Glycoside hydrolase family 5 C-terminal domain,membrane,,,,
PF18580,Sun2_CC2,SUN2 coiled coil domain 2,membrane,,,,
PF18589,ObR_Ig,Obesity receptor immunoglobulin like domain,membrane,,,,
PF18660,Tsi6,Tsi6,membrane,,,,
PF18669,Trp_ring,Trimeric autotransporter adhesin Trp ring domain,membrane,,,,
PF18695,cPLA2_C2,Cytosolic phospholipases A2 C2-domain,membrane,,,,
PF18698,HisK_sensor,Histidine kinase sensor domain,membrane,,,,
PF18709,DLP_helical,Dynamin-like helical domain,membrane,,,,
PF18800,Atthog,Attenuator of Hedgehog,membrane,,,,
PF18807,TTc_toxin_rep,Tripartite Tc toxins repeat,membrane,,,,
PF18861,PTP_tm,"Transmembrane domain of protein tyrosine phosphatase, receptor type J",membrane,,,,
PF07565,Band_3_cyto,Band 3 cytoplasmic domain,cytoplasm,,,,
PF11540,Dynein_IC2,Cytoplasmic dynein 1 intermediate chain 2,cytoplasm,,,,
PF00357,Integrin_alpha,Integrin alpha cytoplasmic region,cytoplasm,,,,
PF03259,Robl_LC7,Roadblock/LC7 domain,cytoplasm,,,,
PF03645,Tctex-1,Tctex-1 family,cytoplasm,,,,
PF05134,T2SSL,"Type II secretion system (T2SS), protein L",cytoplasm,,,,
PF07090,GATase1_like,Putative glutamine amidotransferase,cytoplasm,,,,
PF08337,Plexin_cytopl,Plexin cytoplasmic RasGAP domain,cytoplasm,,,,
PF08725,Integrin_b_cyt,Integrin beta cytoplasmic domain,cytoplasm,,,,
PF09400,DUF2002,Protein of unknown function (DUF2002),cytoplasm,,,,
PF10480,ICAP-1_inte_bdg,Beta-1 integrin binding protein,cytoplasm,,,,
PF16368,CEBP1_N,Cytoplasmic polyadenylation element-binding protein 1 N-terminus,cytoplasm,,,,
PF00018,SH3_1,SH3 domain,cytoplasm,,,,
PF07653,SH3_2,Variant SH3 domain,cytoplasm,,,,
PF12774,AAA_6,Hydrolytic ATP binding site of dynein motor region,cytoplasm,,,,
PF12775,AAA_7,P-loop containing dynein motor region,cytoplasm,,,,
PF12781,AAA_9,ATP-binding dynein motor region,cytoplasm,,,,
PF16366,CEBP_ZZ,Cytoplasmic polyadenylation element-binding protein ZZ domain,cytoplasm,,,,
PF01049,Cadherin_C,Cadherin cytoplasmic region,cytoplasm,,,,
PF04186,FxsA,FxsA cytoplasmic membrane protein ,cytoplasm,,,,
PF06989,BAALC_N,BAALC N-terminus,cytoplasm,,,,
PF10288,CTU2,Cytoplasmic tRNA 2-thiolation protein 2,cytoplasm,,,,
PF00270,DEAD,DEAD/DEAH box helicase,cytoplasm,,,,
PF00528,BPD_transp_1,Binding-protein-dependent transport system inner membrane component,cytoplasm,,,,
PF01660,Vmethyltransf,Viral methyltransferase,cytoplasm,,,,
PF01677,Herpes_UL7,Herpesvirus UL7 like,cytoplasm,,,,
PF01910,Thiamine_BP,Thiamine-binding protein,cytoplasm,,,,
PF02302,PTS_IIB,"PTS system, Lactose/Cellobiose specific IIB subunit",cytoplasm,,,,
PF02556,SecB,Preprotein translocase subunit SecB,cytoplasm,,,,
PF05783,DLIC,Dynein light intermediate chain (DLIC),cytoplasm,,,,
PF05994,FragX_IP,Cytoplasmic Fragile-X interacting family,cytoplasm,,,,
PF06101,Vps62,Vacuolar protein sorting-associated protein 62,cytoplasm,,,,
PF06167,Peptidase_M90,Glucose-regulated metallo-peptidase M90,cytoplasm,,,,
PF06519,TolA,TolA C-terminal,cytoplasm,,,,
PF07377,DUF1493,Protein of unknown function (DUF1493),cytoplasm,,,,
PF07817,GLE1,GLE1-like protein,cytoplasm,,,,
PF08553,VID27,VID27 C-terminal WD40-like domain,cytoplasm,,,,
PF08580,KAR9,Yeast cortical protein KAR9,cytoplasm,,,,
PF09759,Atx10homo_assoc,Spinocerebellar ataxia type 10 protein domain,cytoplasm,,,,
PF16503,zn-ribbon_14,Zinc-ribbon,cytoplasm,,,,
PF16641,CLIP1_ZNF,CLIP1 zinc knuckle,cytoplasm,,,,
PF16916,ZT_dimer,Dimerisation domain of Zinc Transporter,cytoplasm,,,,
PF00437,T2SSE,Type II/IV secretion system protein,cytoplasm,,,,
PF02037,SAP,SAP domain,cytoplasm,,,,
PF02613,Nitrate_red_del,Nitrate reductase delta subunit,cytoplasm,,,,
PF02777,Sod_Fe_C,"Iron/manganese superoxide dismutases, C-terminal domain",cytoplasm,,,,
PF03401,TctC,Tripartite tricarboxylate transporter family receptor,cytoplasm,,,,
PF05591,T6SS_VipA,"Type VI secretion system, VipA, VC_A0107 or Hcp2",cytoplasm,,,,
PF05947,T6SS_TssF,"Type VI secretion system, TssF",cytoplasm,,,,
PF08441,Integrin_alpha2,Integrin alpha,cytoplasm,,,,
PF09333,ATG_C,Autophagy-related protein C terminal domain,cytoplasm,,,,
PF10033,ATG13,Autophagy-related protein 13,cytoplasm,,,,
PF12287,Caprin-1_C,Cytoplasmic activation/proliferation-associated protein-1 C term,cytoplasm,,,,
PF17911,Ski2_N,Ski2 N-terminal region,cytoplasm,,,,
PF12122,Rhomboid_N,Cytoplasmic N-terminal domain of rhomboid serine protease,cytoplasm,,,,
PF00558,Vpu,Vpu protein,cytoplasm,,,,
PF00999,Na_H_Exchanger,Sodium/hydrogen exchanger family,cytoplasm,,,,
PF03480,DctP,"Bacterial extracellular solute-binding protein, family 7",cytoplasm,,,,
PF05291,Bystin,Bystin,cytoplasm,,,,
PF06864,PAP_PilO,Pilin accessory protein (PilO),cytoplasm,,,,
PF08515,TGF_beta_GS,Transforming growth factor beta type I GS-motif,cytoplasm,,,,
PF09303,KcnmB2_inactiv,"KCNMB2, ball and chain domain",cytoplasm,,,,
PF09360,zf-CDGSH,Iron-binding zinc finger CDGSH type,cytoplasm,,,,
PF12104,Tcell_CD4_C,T cell CD4 receptor C terminal region,cytoplasm,,,,
PF16697,Yop-YscD_cpl,"Inner membrane component of T3SS, cytoplasmic domain",cytoplasm,,,,
PF01105,EMP24_GP25L,emp24/gp25L/p24 family/GOLD,cytoplasm,,,,
PF03828,PAP_assoc,Cid1 family poly A polymerase,cytoplasm,,,,
PF17655,IRK_C,Inward rectifier potassium channel C-terminal domain,cytoplasm,,,,
PF18274,V_ATPase_prox,Vacuolar ATPase Subunit I N-terminal proximal lobe,cytoplasm,,,,
PF01430,HSP33,Hsp33 protein,cytoplasm,,,,
PF02354,Latrophilin,Latrophilin Cytoplasmic C-terminal region,cytoplasm,,,,
PF04096,Nucleoporin2,Nucleoporin autopeptidase,cytoplasm,,,,
PF04106,APG5,Autophagy protein Apg5 ,cytoplasm,,,,
PF05093,CIAPIN1,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis",cytoplasm,,,,
PF15476,SAP25,Histone deacetylase complex subunit SAP25,cytoplasm,,,,
PF07348,Syd,Syd protein (SUKH-2),cytoplasm,,,,
PF08988,T3SS_needle_E,"Type III secretion system, cytoplasmic E component of needle",cytoplasm,,,,
PF10104,Brr6_like_C_C,Di-sulfide bridge nucleocytoplasmic transport domain,cytoplasm,,,,
PF00407,Bet_v_1,Pathogenesis-related protein Bet v I family,cytoplasm,,,,
PF00582,Usp,Universal stress protein family,cytoplasm,,,,
PF00584,SecE,SecE/Sec61-gamma subunits of protein translocation complex,cytoplasm,,,,
PF00599,Flu_M2,Influenza Matrix protein (M2),cytoplasm,,,,
PF00902,TatC,Sec-independent protein translocase protein (TatC),cytoplasm,,,,
PF01452,Rota_NSP4,Rotavirus non structural protein,cytoplasm,,,,
PF01582,TIR,TIR domain,cytoplasm,,,,
PF01644,Chitin_synth_1,Chitin synthase,cytoplasm,,,,
PF01925,TauE,Sulfite exporter TauE/SafE,cytoplasm,,,,
PF02005,TRM,"N2,N2-dimethylguanosine tRNA methyltransferase",cytoplasm,,,,
PF02146,SIR2,Sir2 family,cytoplasm,,,,
PF02276,CytoC_RC,Photosynthetic reaction centre cytochrome C subunit,cytoplasm,,,,
PF02442,L1R_F9L,Lipid membrane protein of large eukaryotic DNA viruses,cytoplasm,,,,
PF02562,PhoH,PhoH-like protein,cytoplasm,,,,
PF02600,DsbB,Disulfide bond formation protein DsbB,cytoplasm,,,,
PF02691,VacA,Vacuolating cyotoxin,cytoplasm,,,,
PF02702,KdpD,Osmosensitive K+ channel His kinase sensor domain,cytoplasm,,,,
PF02764,Diphtheria_T,"Diphtheria toxin, T domain",cytoplasm,,,,
PF03091,CutA1,CutA1 divalent ion tolerance protein,cytoplasm,,,,
PF03128,CXCXC,CXCXC repeat,cytoplasm,,,,
PF03177,Nucleoporin_C,Non-repetitive/WGA-negative nucleoporin C-terminal,cytoplasm,,,,
PF03412,Peptidase_C39,Peptidase C39 family,cytoplasm,,,,
PF03700,Sorting_nexin,"Sorting nexin, N-terminal domain ",cytoplasm,,,,
PF03748,FliL,Flagellar basal body-associated protein FliL,cytoplasm,,,,
PF03916,NrfD,"Polysulphide reductase, NrfD",cytoplasm,,,,
PF03967,PRCH,"Photosynthetic reaction centre, H-chain N-terminal region",cytoplasm,,,,
PF03970,Herpes_UL37_1,Herpesvirus UL37 tegument protein,cytoplasm,,,,
PF03977,OAD_beta,Na+-transporting oxaloacetate decarboxylase beta subunit,cytoplasm,,,,
PF03986,Autophagy_N,"Autophagocytosis associated protein (Atg3), N-terminal domain ",cytoplasm,,,,
PF03987,Autophagy_act_C,"Autophagocytosis associated protein, active-site domain ",cytoplasm,,,,
PF04020,Phage_holin_4_2,"Mycobacterial 4 TMS phage holin, superfamily IV",cytoplasm,,,,
PF04109,APG9,Autophagy protein Apg9 ,cytoplasm,,,,
PF04138,GtrA,GtrA-like protein,cytoplasm,,,,
PF04142,Nuc_sug_transp,Nucleotide-sugar transporter,cytoplasm,,,,
PF04144,SCAMP,SCAMP family,cytoplasm,,,,
PF04335,VirB8,VirB8 protein,cytoplasm,,,,
PF04386,SspB,Stringent starvation protein B,cytoplasm,,,,
PF04478,Mid2,Mid2 like cell wall stress sensor,cytoplasm,,,,
PF04534,Herpes_UL56,Herpesvirus UL56 protein,cytoplasm,,,,
PF04603,Mog1,Ran-interacting Mog1 protein,cytoplasm,,,,
PF04775,Bile_Hydr_Trans,Acyl-CoA thioester hydrolase/BAAT N-terminal region,cytoplasm,,,,
PF04834,Adeno_E3_14_5,Early E3 14.5 kDa protein,cytoplasm,,,,
PF04857,CAF1,CAF1 family ribonuclease,cytoplasm,,,,
PF04913,Baculo_Y142,Baculovirus Y142 protein,cytoplasm,,,,
PF04971,Phage_holin_2_1,Bacteriophage P21 holin S ,cytoplasm,,,,
PF04979,IPP-2,Protein phosphatase inhibitor 2 (IPP-2),cytoplasm,,,,
PF04995,CcmD,Heme exporter protein D (CcmD),cytoplasm,,,,
PF05022,SRP40_C,"SRP40, C-terminal domain",cytoplasm,,,,
PF05036,SPOR,Sporulation related domain,cytoplasm,,,,
PF05054,AcMNPV_Ac109,Autographa californica nuclear polyhedrosis virus (AcMNPV) protein,cytoplasm,,,,
PF05058,ActA,ActA Protein,cytoplasm,,,,
PF05208,ALG3,ALG3 protein,cytoplasm,,,,
PF05232,BTP,Chlorhexidine efflux transporter,cytoplasm,,,,
PF05297,Herpes_LMP1,Herpesvirus latent membrane protein 1 (LMP1),cytoplasm,,,,
PF05425,CopD,Copper resistance protein D,cytoplasm,,,,
PF05454,DAG1,Dystroglycan (Dystrophin-associated glycoprotein 1),cytoplasm,,,,
PF05458,Siva,Cd27 binding protein (Siva),cytoplasm,,,,
PF05478,Prominin,Prominin,cytoplasm,,,,
PF05480,Staph_haemo,Staphylococcus haemolytic protein,cytoplasm,,,,
PF05541,Spheroidin,Entomopoxvirus spheroidin protein,cytoplasm,,,,
PF05586,Ant_C,Anthrax receptor C-terminus region,cytoplasm,,,,
PF06268,Fascin,Fascin domain,cytoplasm,,,,
PF06276,FhuF,Ferric iron reductase FhuF-like transporter,cytoplasm,,,,
PF06278,CNDH2_N,"Condensin II complex subunit CAP-H2 or CNDH2, N-terminal",cytoplasm,,,,
PF06467,zf-FCS,MYM-type Zinc finger with FCS sequence motif,cytoplasm,,,,
PF06542,PHA-1,Regulator protein PHA-1,cytoplasm,,,,
PF06567,Neural_ProG_Cyt,Neural chondroitin sulphate proteoglycan cytoplasmic domain,cytoplasm,,,,
PF06747,CHCH,CHCH domain,cytoplasm,,,,
PF06984,MRP-L47,Mitochondrial 39-S ribosomal protein L47 (MRP-L47),cytoplasm,,,,
PF07217,Het-C,Heterokaryon incompatibility protein Het-C,cytoplasm,,,,
PF07263,DMP1,Dentin matrix protein 1 (DMP1),cytoplasm,,,,
PF07415,Herpes_LMP2,Gammaherpesvirus latent membrane protein (LMP2) protein,cytoplasm,,,,
PF07426,Dynactin_p22,Dynactin subunit p22,cytoplasm,,,,
PF07435,YycH,YycH protein,cytoplasm,,,,
PF07638,Sigma70_ECF,ECF sigma factor,cytoplasm,,,,
PF07777,MFMR,G-box binding protein MFMR,cytoplasm,,,,
PF07813,LTXXQ,LTXXQ motif family protein,cytoplasm,,,,
PF07815,Abi_HHR,Abl-interactor HHR,cytoplasm,,,,
PF07941,K_channel_TID,Potassium channel Kv1.4 tandem inactivation domain,cytoplasm,,,,
PF08001,CMV_US,CMV US,cytoplasm,,,,
PF08043,Xin,Xin repeat,cytoplasm,,,,
PF08327,AHSA1,Activator of Hsp90 ATPase homolog 1-like protein,cytoplasm,,,,
PF08374,Protocadherin,Protocadherin,cytoplasm,,,,
PF08416,PTB,Phosphotyrosine-binding domain,cytoplasm,,,,
PF08488,WAK,Wall-associated kinase,cytoplasm,,,,
PF08614,ATG16,Autophagy protein 16 (ATG16),cytoplasm,,,,
PF08919,F_actin_bind,F-actin binding,cytoplasm,,,,
PF08951,EntA_Immun,Enterocin A Immunity,cytoplasm,,,,
PF08961,NRBF2,"Nuclear receptor-binding factor 2, autophagy regulator",cytoplasm,,,,
PF09051,SNN_cytoplasm,Stannin cytoplasmic,cytoplasm,,,,
PF09102,Exotox-A_target,"Exotoxin A, targeting",cytoplasm,,,,
PF09531,Ndc1_Nup,Nucleoporin protein Ndc1-Nup,cytoplasm,,,,
PF09599,IpaC_SipC,Salmonella-Shigella invasin protein C (IpaC_SipC),cytoplasm,,,,
PF09603,Fib_succ_major,Fibrobacter succinogenes major domain (Fib_succ_major),cytoplasm,,,,
PF09763,Sec3_C,Exocyst complex component Sec3,cytoplasm,,,,
PF09766,FmiP_Thoc5,Fms-interacting protein/Thoc5,cytoplasm,,,,
PF10036,RLL,"RNA transcription, translation and transport factor protein",cytoplasm,,,,
PF10158,LOH1CR12,Tumour suppressor protein,cytoplasm,,,,
PF10181,PIG-H,"GPI-GlcNAc transferase complex, PIG-H component",cytoplasm,,,,
PF10231,DUF2315,Apoptogenic protein 1,cytoplasm,,,,
PF10254,Pacs-1,PACS-1 cytosolic sorting protein,cytoplasm,,,,
PF10381,Autophagy_C,Autophagocytosis associated protein C-terminal,cytoplasm,,,,
PF10401,IRF-3,Interferon-regulatory factor 3,cytoplasm,,,,
PF10429,Mtr2,Nuclear pore RNA shuttling protein Mtr2,cytoplasm,,,,
PF10439,Bacteriocin_IIc,Bacteriocin class II with double-glycine leader peptide,cytoplasm,,,,
PF10481,CENP-F_N,Cenp-F N-terminal domain,cytoplasm,,,,
PF10538,ITAM_Cys-rich,Immunoreceptor tyrosine-based activation motif,cytoplasm,,,,
PF10555,MraY_sig1,Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1 ,cytoplasm,,,,
PF10570,Myelin-PO_C,Myelin-PO cytoplasmic C-term p65 binding region,cytoplasm,,,,
PF10717,ODV-E18,Occlusion-derived virus envelope protein ODV-E18,cytoplasm,,,,
PF10997,Amj,Alternate to MurJ,cytoplasm,,,,
PF11049,KSHV_K1,Glycoprotein K1 of Kaposi's sarcoma-associated herpes virus,cytoplasm,,,,
PF11089,SyrA,Exopolysaccharide production repressor,cytoplasm,,,,
PF11129,EIAV_Rev,Rev protein of equine infectious anaemia virus,cytoplasm,,,,
PF11130,TraC_F_IV,F pilus assembly Type-IV secretion system for plasmid transfer,cytoplasm,,,,
PF11356,T2SSC,Type II secretion system protein C,cytoplasm,,,,
PF11397,GlcNAc,Glycosyltransferase (GlcNAc),cytoplasm,,,,
PF11412,DsbC,Disulphide bond corrector protein DsbC,cytoplasm,,,,
PF11431,Transport_MerF,Membrane transport protein MerF,cytoplasm,,,,
PF11439,T3SchapCesA,Type III secretion system filament chaperone CesA,cytoplasm,,,,
PF11522,Pik1,Yeast phosphatidylinositol-4-OH kinase Pik1,cytoplasm,,,,
PF11548,Receptor_IA-2,Protein-tyrosine phosphatase receptor IA-2,cytoplasm,,,,
PF11549,Sec31,Protein transport protein SEC31,cytoplasm,,,,
PF11575,FhuF_C,FhuF 2Fe-2S C-terminal domain,cytoplasm,,,,
PF11608,Limkain-b1,Limkain b1,cytoplasm,,,,
PF11710,Git3,G protein-coupled glucose receptor regulating Gpa2,cytoplasm,,,,
PF11727,ISG65-75,Invariant surface glycoprotein,cytoplasm,,,,
PF11916,Vac14_Fig4_bd,Vacuolar protein 14 C-terminal Fig4p binding,cytoplasm,,,,
PF11933,Na_trans_cytopl,Cytoplasmic domain of voltage-gated Na+ ion channel,cytoplasm,,,,
PF11957,efThoc1,THO complex subunit 1 transcription elongation factor,cytoplasm,,,,
PF12011,NPH-II,RNA helicase NPH-II ,cytoplasm,,,,
PF12188,STAT2_C,Signal transducer and activator of transcription 2 C terminal,cytoplasm,,,,
PF12295,Symplekin_C,Symplekin tight junction protein C terminal,cytoplasm,,,,
PF12355,Dscam_C,Down syndrome cell adhesion molecule C terminal ,cytoplasm,,,,
PF12464,Mac,Maltose acetyltransferase ,cytoplasm,,,,
PF12608,T4bSS_IcmS,"Type IVb secretion, IcmS, effector-recruitment",cytoplasm,,,,
PF12696,TraG-D_C,TraM recognition site of TraD and TraG,cytoplasm,,,,
PF12716,Apq12,Nuclear pore assembly and biogenesis,cytoplasm,,,,
PF12719,Cnd3,"Nuclear condensing complex subunits, C-term domain",cytoplasm,,,,
PF12729,4HB_MCP_1,Four helix bundle sensory module for signal transduction,cytoplasm,,,,
PF12734,CYSTM,Cysteine-rich TM module stress tolerance,cytoplasm,,,,
PF12744,ATG19_autophagy,"Autophagy protein Atg19, Atg8-binding",cytoplasm,,,,
PF12757,Eisosome1,Eisosome protein 1 ,cytoplasm,,,,
PF12791,RsgI_N,Anti-sigma factor N-terminus,cytoplasm,,,,
PF12821,ThrE_2,"Threonine/Serine exporter, ThrE",cytoplasm,,,,
PF12881,NUT,NUT protein,cytoplasm,,,,
PF13018,ESPR,Extended Signal Peptide of Type V secretion system,cytoplasm,,,,
PF13682,CZB,Chemoreceptor zinc-binding domain,cytoplasm,,,,
PF13721,SecD-TM1,SecD export protein N-terminal TM region,cytoplasm,,,,
PF13805,Pil1,Eisosome component PIL1,cytoplasm,,,,
PF13874,Nup54,Nucleoporin complex subunit 54,cytoplasm,,,,
PF14169,YdjO,Cold-inducible protein YdjO,cytoplasm,,,,
PF14171,SpoIISA_toxin,"Toxin SpoIISA, type II toxin-antitoxin system",cytoplasm,,,,
PF14654,Epiglycanin_C,"Mucin, catalytic, TM and cytoplasmic tail region",cytoplasm,,,,
PF14755,ER-remodelling,Intracellular membrane remodeller ,cytoplasm,,,,
PF14777,BBIP10,Cilia BBSome complex subunit 10,cytoplasm,,,,
PF15011,CK2S,Casein Kinase 2 substrate,cytoplasm,,,,
PF15157,IQCJ-SCHIP1,Fusion protein IQCJ-SCHIP1 with IQ-like motif,cytoplasm,,,,
PF15226,HPIP,HCF-1 beta-propeller-interacting protein family,cytoplasm,,,,
PF15271,BBP1_N,"Spindle pole body component BBP1, Mps2-binding protein",cytoplasm,,,,
PF15284,PAGK,Phage-encoded virulence factor,cytoplasm,,,,
PF15348,GEMIN8,Gemini of Cajal bodies-associated protein 8,cytoplasm,,,,
PF15670,Spem1,Spermatid maturation protein 1,cytoplasm,,,,
PF15683,TDRP,Testis development-related protein,cytoplasm,,,,
PF15901,Sortilin_C,"Sortilin, neurotensin receptor 3, C-terminal",cytoplasm,,,,
PF15974,Cadherin_tail,"Cadherin C-terminal cytoplasmic tail, catenin-binding region",cytoplasm,,,,
PF16083,Phage_holin_3_3,"LydA holin phage, holin superfamily III",cytoplasm,,,,
PF16166,TIC20,Chloroplast import apparatus Tic20-like,cytoplasm,,,,
PF16178,Anoct_dimer,"Dimerisation domain of Ca+-activated chloride-channel, anoctamin",cytoplasm,,,,
PF16276,NPM1-C,Nucleophosmin C-terminal domain,cytoplasm,,,,
PF16492,Cadherin_C_2,Cadherin cytoplasmic C-terminal,cytoplasm,,,,
PF16494,Na_Ca_ex_C,C-terminal extension of sodium/calcium exchanger domain,cytoplasm,,,,
PF16501,SCAPER_N,S phase cyclin A-associated protein in the endoplasmic reticulum,cytoplasm,,,,
PF16519,TRPM_tetra,Tetramerisation domain of TRPM,cytoplasm,,,,
PF16525,MHB,"Haemophore, haem-binding",cytoplasm,,,,
PF16608,TNRC6-PABC_bdg,TNRC6-PABC binding domain,cytoplasm,,,,
PF16705,NUDIX_5,"NUDIX, or N-terminal NPxY motif-rich, region of KRIT",cytoplasm,,,,
PF16791,Connexin40_C,Connexin 40 C-terminal domain,cytoplasm,,,,
PF16811,TAtT,TRAP transporter T-component,cytoplasm,,,,
PF16869,CNDH2_M,PF16858,cytoplasm,,,,
PF16937,T3SS_HrpK1,"Type III secretion system translocator protein, HrpF",cytoplasm,,,,
PF16968,TadZ_N,Pilus assembly protein TadZ N-terminal,cytoplasm,,,,
PF17066,RITA,RBPJ-interacting and tubulin associated protein,cytoplasm,,,,
PF17169,NRBF2_MIT,MIT domain of nuclear receptor-binding factor 2,cytoplasm,,,,
PF17327,AHL_synthase,Acyl homoserine lactone synthase,cytoplasm,,,,
PF17419,MauJ,Methylamine utilization protein MauJ,cytoplasm,,,,
PF17467,E7R,Viral Protein E7,cytoplasm,,,,
PF17515,CPV_Polyhedrin,Cypovirus polyhedrin,cytoplasm,,,,
PF17536,Mx_ML,Matrix and Matrix long proteins N-terminal,cytoplasm,,,,
PF17617,US10,Viral unique short region 10,cytoplasm,,,,
PF17626,IncF,Inclusion membrane protein F,cytoplasm,,,,
PF17636,UL21a,Viral Unique Long protein 21a,cytoplasm,,,,
PF00081,Sod_Fe_N,"Iron/manganese superoxide dismutases, alpha-hairpin domain",cytoplasm,,,,
PF00430,ATP-synt_B,ATP synthase B/B' CF(0),cytoplasm,,,,
PF00529,HlyD,HlyD membrane-fusion protein of T1SS,cytoplasm,,,,
PF00802,Glycoprotein_G,Pneumovirus attachment glycoprotein G,cytoplasm,,,,
PF01715,IPPT,IPP transferase,cytoplasm,,,,
PF01809,YidD,Putative membrane protein insertion efficiency factor,cytoplasm,,,,
PF01891,CbiM,Cobalt uptake substrate-specific transmembrane region,cytoplasm,,,,
PF01922,SRP19,SRP19 protein,cytoplasm,,,,
PF01970,TctA,Tripartite tricarboxylate transporter TctA family,cytoplasm,,,,
